symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2011-01-18,2011-02-24,PE,5000,20.0,20.0,12.0,12.65,12.6,12.65,2460,6169.9,-,331450,28900,5682.55,5730.5,5671.25,5724.05,141008889.0,6160.38,0.0121806968803443,0.1864746980875013,0.1655997300086985,-682.5500000000002,-724.0500000000002,37,0.2845084394511978,0.1352,1.5942164993756645,1.5036328979627418,-0.0554437761336392,0.0002159095,-0.7844,2.0402,-33.45335991403877,-0.0059165879,-0.0021,17.19
NIFTY,2011-01-18,2011-02-24,PE,5100,25.0,26.5,16.0,17.0,17.05,17.0,2311,5918.68,-,411100,9300,5682.55,5730.5,5671.25,5724.05,141008889.0,6160.38,0.0121806968803443,0.1864746980875013,0.1655997300086985,-582.5500000000002,-624.0500000000002,37,0.2703513161512916,0.1154,1.44301388196331,1.356937715256458,-0.0745082803665735,0.0002858646,-0.9378,2.5669,-44.95642195433366,-0.0070693286,-0.0024,18.5912
NIFTY,2011-01-19,2011-02-24,PE,4800,7.45,7.45,5.05,7.15,7.2,7.15,34,81.7,-,2150,1500,5737.35,5747.65,5662.55,5691.05,146719934.0,6694.79,-0.0057818314217622,0.1876000719629198,0.1654237736087208,-937.3500000000004,-891.0500000000002,36,0.3092566421705197,0.1703,1.8525591236845933,1.7554357288454103,-0.0319727879453205,0.0001297627,-0.5506,1.2819,-18.65181092333269,-0.0040712896,-0.0016,13.4804
NIFTY,2011-01-19,2011-02-24,PE,4900,6.6,9.4,6.6,9.1,7.85,9.1,528,1295.71,-,22400,21700,5737.35,5747.65,5662.55,5691.05,146719934.0,6694.79,-0.0057818314217622,0.1876000719629198,0.1654237736087208,-837.3500000000004,-791.0500000000002,36,0.2917590822535798,0.1497,1.732969918317442,1.6413417083467483,-0.0415505078189086,0.0001704336,-0.6437,1.5885,-24.220201394387058,-0.0049997859,-0.0019,15.486
NIFTY,2011-01-19,2011-02-24,PE,5000,15.0,15.0,10.45,13.6,13.5,13.6,2519,6313.52,-,347550,16100,5737.35,5747.65,5662.55,5691.05,146719934.0,6694.79,-0.0057818314217622,0.1876000719629198,0.1654237736087208,-737.3500000000004,-691.0500000000002,36,0.2835925019227262,0.1295,1.5534374024126891,1.4643739425485496,-0.0601593365793348,0.0002355078,-0.8403,2.1335,-35.10934093898548,-0.0061638859,-0.0022,17.1138
NIFTY,2011-01-19,2011-02-24,PE,5100,16.0,20.7,13.2,17.8,16.5,17.8,1582,4047.48,-,424100,13000,5737.35,5747.65,5662.55,5691.05,146719934.0,6694.79,-0.0057818314217622,0.1876000719629198,0.1654237736087208,-637.3500000000004,-591.0500000000002,36,0.2671130342573563,0.1097,1.4078809342815692,1.3239929229819936,-0.0795831647653012,0.000310173,-0.9819,2.6466,-46.42636007068068,-0.0073398446,-0.0025,18.4693
NIFTY,2011-01-20,2011-02-24,PE,4800,8.65,8.65,4.3,4.35,4.3,4.35,70,168.16,-,5400,3250,5656.0,5729.45,5634.5,5711.6,130496983.0,6947.7,0.0036044291894675,0.1870950043715762,0.167829010664511,-856.0,-911.6000000000004,35,0.2928521278658311,0.1739,2.0156528001610727,1.924967692295372,-0.0219181472157466,0.0001010132,-0.3871,0.9254,-12.421413563514616,-0.0034391183,-0.0014,12.2605
NIFTY,2011-01-20,2011-02-24,PE,4900,9.65,9.65,4.8,5.25,5.25,5.25,1324,3247.69,-,58050,35650,5656.0,5729.45,5634.5,5711.6,130496983.0,6947.7,0.0036044291894675,0.1870950043715762,0.167829010664511,-756.0,-811.6000000000004,35,0.2722868782739295,0.1533,1.916736698515699,1.832419862211204,-0.0276356952479124,0.0001319669,-0.4372,1.124,-15.639145732185302,-0.0042769634,-0.0016,14.4992
NIFTY,2011-01-20,2011-02-24,PE,5000,15.5,15.5,8.0,9.5,8.75,9.5,2592,6495.72,-,395450,47900,5656.0,5729.45,5634.5,5711.6,130496983.0,6947.7,0.0036044291894675,0.1870950043715762,0.167829010664511,-656.0,-711.6000000000004,35,0.2716508066444831,0.1331,1.6808618483099904,1.596741979071253,-0.0463948759834257,0.0002021847,-0.6668,1.7181,-26.320851748525808,-0.0057098994,-0.0021,16.9748
NIFTY,2011-01-20,2011-02-24,PE,5100,19.0,20.0,13.5,14.35,14.15,14.35,2382,6095.06,-,406450,-17650,5656.0,5729.45,5634.5,5711.6,130496983.0,6947.7,0.0036044291894675,0.1870950043715762,0.167829010664511,-556.0,-611.6000000000004,35,0.2628088725900673,0.1133,1.491298902918849,1.4099170426176235,-0.0679415184268915,0.0002822898,-0.8713,2.3207,-38.58675093130916,-0.0070393754,-0.0024,18.5671
